SMDB 2014	9th International Workshop on Self-Managing Database Systems	Chicago, IL, USA
SML 2017	IJCAI Workshop on Semantic Machine Learning (SML 2017)	Melbourne, Australia
SMLIR 2016	2nd Workshop on Tools and Technologies in Statistics, Machine Learning and Information Retrieval	Thessaloniki, Greece
SMMA 2017	CFP Deadline Mar 31st: Social Media Mining and Analysis 2017 @Great Britain	Exeter, England
SNAA 2016	The 6th Workshop on Social Network Analysis in Applications	UC Davis, Davis, CA, USA
SNMAM 2016	Track on Social Network and Media Analysis and Mining	Cusco, Peru
SNSS 2016	Social Network and Surveillance for Society, Springer	N/A
SOCC 2012	ACM Symposium on Cloud Computing	San Jose, CA
SoCC 2013	ACM Symposium on Cloud Computing	San Jose, CA
SoCC 2016	ACM Symposium on Cloud Computing (SoCC) 2016	Santa Clara, California, USA
SocialNLP 2017	The 5th International Workshop on Natural Language Processing for Social Media	Boston, MA, USA
SocInf 2017	3rd International Workshop on Social Influence Analysis	Melbourne, Australia
SoCPaR 2016	8th International Conference on Soft Computing & Pattern Recognition	VIT University, Vellore
SoDAC 2012	INNS Symposium on Data Analytics and Competitions	Bangkok, Thailand
SoDeLIA 2017	Special Session on Deep Learning and Its Applications	Brunei
SoDM 2016	Special Session on Data Mining (in conjunction with CIIS 2016)	Institut Teknologi Brunei, Brunei
SoEA4EE 2013	The Fifth Workshop on Service oriented Enterprise Architecture for Enterprise Engineering	Vancouver, Canada
SoGood 2017	2nd Workshop on Data Science for Social Good @ ECML PKDD	Skopje, Macedonia
SoICT 2017	The Eighth International Symposium on Information and Communication Technology	NhaTrang, Vietnam
SoMePeAS 2017	ECIR 2017 Workshop on “Social Media for Personalization And Search”	Aberdeen, Scotland
SoMeRis 2016	2nd International ICDM Workshop on Data Science for Social Media and Risk (SoMeRis 2016)	Barcelona, Spain
SOMOCO 2012	International Workshop on SOcial and MObile COmputing for collaborative environments	Rome, Italy
Special Issue GPEM 2016	Special Issue on Automated Design and Adaptation of Heuristics for Scheduling and Combinatorial Optimisation - Genetic Programming and Evolvable Machines (Springer)	N/A
Special issue on AI 2017	Informatica special anniversary issue on artificial intelligence	N/A
Special Session in SMC 2017	Special Session on Information Systems for Design and Marketing in IEEE SMC 2017	Banff, Canada
SPECOM 2018	20th International Conference on Speech and Computer	Leipzig, Germany
SPIC: Tensor Image Prococessing 2018	Signal Processing: Image Communication: Special Issue on Tensor Image Processing	N/A
SPIE - ICRMV 2017	2017 The 2nd International Conference on Robotics and Machine Vision (ICRMV 2017)--Ei Compendex and Scopus	Kitakyushu, Japan
SPIE--IWPR--Ei Compendex, Scopus 2018	SPIE--2018 the 3rd International Workshop on Pattern Recognition (IWPR 2018)--Ei, Scopus and ISI	Jinan, China
SR 2017	Fifth International Workshop on Strategic Reasoning	University of Liverpool, UK
SSCI 2016	2016 IEEE Symposium on Computational Intelligence in Dynamic and Uncertain Environments	Athens, Greece
SSCIG-CEC 2017	Special Session on Computational Intelligence and Games	San Sebastián, Spain
SSDBM 2012	24th International Conference on Scientific and Statistical Database Management	Chania, Crete, Greece
SSDM 2016	The 2nd ECML/PKDD Workshop on Statistically Sound Data Mining	Riva del Garda, Italy
SSDM 2017	The 2nd ECML/PKDD 2016 workshop on Statistically Sound Data Mining	Riva del Garda, Italy
SS-MLID-IWANN 2017	Special Session on Machine Learning in Imbalanced Domains, IWANN2017, LNCS, Cadiz (Spain), June 2017	Cádiz- Spain
SS-MLRE-IWANN 2017	Special Session on Machine learning for renewable energy applications (IWANN'2017), Cadiz (Spain), June 2017	Cádiz- Spain
SSTD 2013	13th International Symposium on Spatial and Temporal Databases	Munich, Germany
SSTD 2015	14th International Symposium on Spatial and Temporal Databases	Seoul, South Korea
ST-Analytics 2017	Advances in Spatio-Temporal Analytics	Trieste, Italy
STIR 2012	ICDE 2012 Workshop on Spatio Temporal data Integration and Retrieval	Washington DC, USA
StoryCase 2012	ICCBR-12 Workshop on Stories, Episodes, and Cases (StoryCase)	Lyon, France
SUM 2011	Fifth International Conference on Scalable Uncertainty Management	Dayton, OH, USA
SUM 2012	Sixth International Conference on Scalable Uncertainty Management	Marburg, Germany
SUM 2015	Ninth International Conference on Scalable Uncertainty Management	Quebec, Canada
SWEET 2013	2nd International Workshop on Scalable Workflow Enactment Engines and Technologies	New York, NY, USA
SWEET 2014	3rd International Workshop on Scalable Workflow Enactment Engines and Technologies	Snowbird, Utah, USA
SwissText 2017	Swiss Text Analytics Conference 2017	Winterthur - Switzerland
SWJ - KB generation & population 2016	Semantic Web Journal - Special Issue on Machine Learning for Knowledge Base Generation and Population	N/A
SWM 2017	1st Workshop on Scholarly Web Mining	Cambridge, UK
SYNASC 2017	19th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing	Timisoara
SYRCoDIS 2012	The Eighth Spring Researchers Colloquium on Databases and Information Systems	Moscow, Russia
SYRCoDIS 2013	The Ninth Spring Researchers Colloquium on Databases and Information Systems 2013	Kazan, Russia
SYRCoDIS 2014	The 10th Spring Researchers Colloquium on Databases and Information Systems	Veliky Novgorod, Russia
TAAI 2017	The 22nd Conference on Technologies and Applications of Artificial Intelligence [Deadline Extended]	Taipei, Taiwan
TaPP 2011	3rd USENIX Workshop on the Theory and Practice of Provenance	Heraklion, Crete, Greece
TBD 2017	IEEE Transactions on Big Data Special Issue on Biomedical Big Data: Understanding, Learning and Applications	N/A
TC4SP 2011	Second International Workshop on Traceability and Compliance of Semi-Structured Processes	Clermont-Ferrand, France
TecnoLógicas 2017	Call for papers in computational techniques and applications	N/A
TFML 2017	Conference on Theoretical Foundations of Machine Learning 2017	Krakow, Poland
TGC@ICONIP 2016	Special session on Topological & Graph-based Clustering,	Kyoto, Japan
TIDM 2013	The First International Workshop on TeraScale In-Core Data Mining	Dallas, TX, USA
TIME 2016	23rd International Symposium on Temporal Representation and Reasoning	Copenhagen, Denmark
TIME 2017	24th International Symposium on Temporal Representation and Reasoning	Mons, Belgium
TIR 2017	Workshop on Technologies for Information Retrieval	Lyon, France
TIST UI 2017	ACM TIST Special Issue on Urban Intelligence	N/A
TLAD 2011	9th International Workshop on Teaching, Learning and Assessment of Databases	Manchester, United Kingdom
TMNZ 2016	First New Zealand Text Mining Workshop	Hamilton, New Zealand
TPCTC 2011	Third TPC Technology Conference on Performance Evaluation & Benchmarking	Seattle, WA, USA
TRANSACT 2016	11th ACM SIGPLAN Workshop on Transactional Computing	Barcelona, Spain
Transhumanism 2017	Organic Machines/Engineered Humans: (Re)Defining Humanity	N/A
TRAP 2017	First European Conference on Traffic Mining Applied to Police Activities	Rome
TSD 2017	20th International Conference on Text, Speech and Dialogue	Prague, Czech Republic
UAI 2017	Uncertainty in Artificial Intelligence	Sydney, Australia
UCC - IDP 2016	UCC - IDP 2016: The 5th International Workshop on Intelligent Data Processing	Shanghai
UKAIS 2018	The 23rd UK Academy for Information Systems (UKAIS) International Conference	University of Oxford, Oxford, UK
UOII 2011	Workshop User Oriented Information Integration	Riga, Latvia
UrbComp 2016	The 5th International Workshop on Urban Computing (in conjuction with KDD'16)	San Francisco, CA, USA
UrbComp 2017	UrbComp 2017 : The 6th International Workshop on Urban Computing (in conjunction with KDD'17)	Halifax, Nova Scotia, Canada
VAAM 2016	Video Analytics for Audience Measurement	Cancun, Mexico
VARVAI 2016	1st workshop on Virtual/Augmented Reality for Visual Artificial Intelligence	Amsterdam, Netherland
VAST 2012	2nd Int'l Workshop on Variability-intensive Systems Testing, Validation & Verification	Montreal, Canada
VDA 2012	Conference on Visualization and Data Analysis	Burlingame, CA, USA
VICTA 2017	Workshop on Visions on Internet of Cultural Things and Applications	Jaipur, India
VISAPP 2018	International Conference on Computer Vision Theory and Applications	Funchal, Madeira, Portugal
VLDB 2012	38th International Conference on Very Large Databases	Istanbul, Turkey
VLDB 2013	International Conference on Very Large Data Bases	Lago Di Garda, Trento, Italy
VLDB 2014	40th International Conference on Very Large Data Bases	Hangzhou, China
VLDB 2015	41st International Conference on Very Large Data Bases	Kohala Coast, HI, USA
VLDB 2016	42nd international conference on very large data bases	New Delhi
VLDS 2011	First International Workshop on Searching and Integrating New Web Data Sources	Seattle, WA, United States
VOCVLC/CVPR 2017	International Workshop on Visual Odometry and Computer Vision Applications Based on Location Clues	Hawaii, USA
VS3 2017	Vision and Sports Summer School 2017	Prague, Czech Republic
VSI: DL-Fusion 2018	Special issue On “Deep Learning for Information Fusion” - Information Fusion (Elsevier)	N/A
WAAE 2017	IJCAI-17 Workshop on AI Applications in E-Commerce	Melbourne, Australia
WAAISC 2017	1st Workshop on Applications of Artificial Intelligence in Smart Cities	Boston, MA, USA
WASMM 2017	Web and Social Media Mining- PAAMS Special Session	Porto, Portugal
WCICSS 2017	The World Congress on Industrial Control Systems Security	University of Cambridge
WCO 2017	10th International Workshop on Computational Optimization	Prague, Czech Republic
WebDB 2012	15th International Workshop on the Web and Databases	Scottsdale, AZ, USA
WebDB 2013	16th International Workshop on the Web and Databases	New York, NY, USA
WebDB 2014	International Workshop on the Web and Databases	Snowbird, Utah, USA
WebDB 2017	International Workshop on the Web and Databases	Chicago, IL, USA
We RISE 2017	We RISE Women in Tech Conference	Atlanta, GA, USA
WI 2017	IEEE/WIC/ACM International Conference on Web Intelligence 2017	Leipzig, Germany
WICA 2017	Workshop on Industrial Computational Applications	Trieste, Italy
WiML 2016	11th Workshop for Women in Machine Learning, Co-located with NIPS	Barcelona, Spain
WINVIZNN 2016	ACCV 2016 Workshop on Interpretation and Visualization of Deep Neural Nets	Taipei, Taiwan
WISA 2017	9th Workshop on Intelligent Systems and Applications	Lisbon, Portugal
WISDOM 2017	6th KDD Workshop on Issues of Sentiment Discovery and Opinion Mining	Halifax, Nova Scotia, Canada
WISE 2012	The 13th International Conference on Web Information System Engineering	Paphos, Cyprus
WISE 2017	WISE 2017: The 18th International Conference on Web Information Systems Engineering	Moscow, Russia
WISTIPS 2017	INFORMATION AND SOFTWARE TECHNOLOGIES FOR INTELLIGENT POWER SYSTEMS	Druskininkai, Lithuania
WMLI 2016	ICANN 2016 Workshop on Machine Learning and Interpretability	Barcelona, Spain
WNUT 2016	The 2nd Workshop on Noisy User-generated Text @COLING	Osaka, Japan
WOD 2012	First International Workshop on Open Data	Nantes, France
WOD 2013	2nd International Workshop on Open Data	Paris, France
WOD - Summer School 2011	WEB OF DATA: Joint RuSSIR/EDBT Summer School 2011	Saint-Petersburg
WoLGA 2018	Workshop on Logical Geometry and its Applications	Vichy, France
WOMoCoE 2017	2nd International Workshop on Ontology Modularity, Contextuality, and Evolution	Vienna, Austria
Workshop - DMIN 2017	Workshop on Data Mining in Transportation Security	Las Vegas, NV , USA
Workshop on Massive Dataflow Analysis 2017	In conjunction The 14th ACS/IEEE International Conference on Computer Systems and Applications (AICCSA 2017)	Hammamet, Tunisia
WOSP 2017	6th International Workshop on Mining Scientific Publications	Toronto, Ontario, Canada
WOW 2017	Workshop on Web Observatories, Social Machines and Decentralisation	Perth, Australia
WPDM 2017	The first International Workshop on Parallel Data Mining	Genoa, Italy
WPRSM 2017	The International Workshop on Web Personalization, Recommender Systems and Social Media	Leipzig, Germany
WSDM 2017	International Conference on Web Search and Data Mining	Cambridge, UK
WSDM Cup 2017	WSDM Cup 2017: Knowledge Base Quality and Search	Cambridge, UK
XLDB 2011	5th Extremely Large Databases Conference	Menlo Park, CA, USA
XMLDM 2012	The Third International Workshop on XML Data Management	Harbin, China
【Ei/ SCOPUS】AIAAT 2017	【Ei/ SCOPUS】2017 International Conference on Artificial Intelligence Applications and Technologies(AIAAT 2017)	Hawaii, USA
【Ei】-ICAIR 2017	2017 2nd International Conference on Artificial Intelligence and Robotics (ICAIR 2017)	Prague, Czech Republic
