BigData-BMLIT 2016	IEEE Workshop on Big Data and Machine Learning in Telecom In conjunction with the 2016 IEEE International Conference on Big Data	Washington DC, USA
BigData Congress 2018	The 7th International Congress on Big Data	Seattle, WA, USA
BigData-FAB 2016	Special Issue on “Big Data and Machine Learning in Finance, Accounting and Business” in Electronic Commerce Research (Springer)	N/A
Big Data in Cloud Computing 2014	Call for Book Chapters: Managing Big Data in Cloud Computing Environments	N/A
BigDAW 2017	International Workshop on Big Data Analytics	Siena, Italy
BigDF 2016	IEEE International Workshop on Foundations of Big Data Computing	Hyderabad, India
BigDF 2017	IEEE International Workshop on Foundations of Big Data Computing	Jaipur, India
Big EMPS 2016	Workshop on Big Data and Analytics for Emergency Management and Public Safety	Washington DC, USA
BigGraphs 2016	Third IEEE Big Data Workshop on High Performance Big Graph Data Management, Analysis, and Mining	Washington DC, USA
BigNet 2017	Big Network Analytics Workshop at WWW 2017	Perth, Australia
BIGProv 2013	International Workshop on Managing and Querying Provenance Data at Scale	Genoa, Italy
BigScholar 2017	The 4th WWW Workshop on Big Scholarly Data	Perth
BigSys 2014	Workshop on System Software Support for Big Data	Stuttgart, Germany
BioASQ 2017	A challenge on large-scale biomedical semantic indexing and question answering	Part of BioNLP 2017 (Vancouver, Canada)
BIOKDD 2017	International Workshop on Data Mining in Bioinformatics (BIOKDD'17)	Halifax, Nova Scotia, Canada
Biometrics PAD 2017	Handbook of Biometric Anti-Spoofing (2nd Edition)	Springer
Biometrics - TSP 2017	1st International Workshop on Recent Advances in Biometrics and its Applications | 2017 40th Int. Conference on Telecommunications and Signal Processing (TSP) | IEEE Xplore®	Barcelona, Spain
BioS 2017	3rd International Conference on Bioinformatics & Biosciences	Chennai, India
BIRTE 2012	VLDB12 Workshop on Real-Time Business Intelligence	Istanbul, Turkey
BIRTE 2013	Seventh International Workshop on Real-Time Business Intelligence	Trento, Italy
BIRTE 2014	Eighth International Workshop on Real-Time Business Intelligence	Hangzhou, China
BNCOD 2013	29th British National Conference on Databases	University of Oxford, United Kingdom
BOCIA 2018	International Workshop on Benchmarking of Computational Intelligence Algorithms	Xiamen, China
BOOM 2017	2nd IJCAI International Workshop on Biomedical infOrmatics with Optimization and Machine learning (BOOM)	Melbourne, Australia
BRACIS 2017	6th Brazilian Conference on Intelligent Systems	Uberlandia, MG, Brazil
BRAIN 2017	Broad Research in Artificial Intelligence and Neuroscience	Bacau
BTW 2017	The 17th Conference on Database Systems for Business, Technology, and Web	Stuttgart, Germany
BUDA 2014	Workshop on Big Uncertain Data	Snowbird, Utah, USA
CAIA 2011	Context Aware Intelligent Assistance	Berlin, Germany
CAIIT 2017	2017 International Conference on Artificial Intelligence and Information Technology (CAIIT 2017)--Ei&Scopus	Hong Kong
CAIJ 2017	Computer Applications: An International Journal	N/A
Call for Book Chapters 2016	Data Mining in Time Series and Streaming Databases	World Scientific
Call for book chapters ASCMLIP 2017	Advances in Soft Computing and Machine Learning in Image Processing (Springer)	N/A
Canadian AI Industry Track 2017	AI in industry, challenges in real life products	Lister Centre, University of Alberta, Ed
CAnimAI 2017	CAnimAI: Computer Animation and Artificial Intelligence	Arras, France
C-Big 2012	International Workshop on Collaborative Big Data	Pittsburgh, PA, USA
CBR@FLAIRS 2017	FLAIRS-30 Special Track on Case-Based Reasoning	Marco Island, FL, USA
CCIA 2016	19 th International Conference of the Catalan Association for Artificial Intelligence	Universitat Pompeu Fabra, Barcelona
CCIS 2017	The 2nd International Conference on Cognition Computing and Intelligent System	Hangzhou, China
CCKS 2017	China Conference on Knowledge Graph and Semantic Computing (CCKS2017)	Chengdu, China
CCML 2017	The 16th China Conference on Machine Learning	Tianjin China
CCSEA 2018	8th International Conference on Computer Science, Engineering and Applications	Melbourne, Australia
CCSEIT 2017	7th International Conference on Computer Science, Engineering and Information Technology	Vienna, Austria
CCSEIT 2018	8th International Conference on Computer Science, Engineering and Information Technology	Zurich, Switzerland
CD 2016	The 2016 ACM SIGKDD Workshop on Causal Discovery	San Francisco, CA, USA
CD 2017	The 2017 ACM SIGKDD Workshop on Causal Discovery	Halifax, Nova Scotia, Canada
CD-MAKE 2017	IFIP Cross Domain Conference for Machine Learning & Knowledge Extraction	Reggio di Calabria
CDMW 2012	City Data Management Workshop 2012 in conj. with CIKM 2012	Maui, HI, USA
CECIIS 2011	Central European Conference on Information and Intelligent Systems	Varazdin, Croatia
CEC SS on Eng Appl 2017	CEC 2017 Special Session on Engineering Applications of Evolutionary Computation	Donostia – San Sebastián, Spain
CEEC 2017	9th Computer Science & Electronic Engineering Conference	Colchester, UK
CIAALS 2018	Workshop on Computational Intelligence in Ambient Assisted Living Systems	Porto, Portugal
CIARP 2017	22nd Iberoamerican Congress on Pattern Recognition	Valparaiso, Chile
CICCI 2013	2nd International Conference on Informatics and Computer Sciences	La Habana, Cuba
CICLOPS 2017	15th International Colloquium on Implementation of Constraint and LOgic Programming Systems	Melbourne, Australia
CIDR 2013	6th BIENNIAL CONFERENCE ON INNOVATIVE DATA SYSTEMS RESEARCH	Asilomar, California
CIESC 2013	XXI Iberoamerican Congress on Higher Education in Computing	Naiguatá, VENEZUELA
CIG 2018	2018 IEEE Conference on Computational Intelligence and Games	Maastricht, the Netherlands
CIIP 2017	Computational Intelligence in Image Processing 2017 (Mathematical Problems in Engineering IF (0.644)	N/A
CIIS 2016	Computational Intelligence in Information Systems	Brunei
CIKM 2011	20th ACM Conference on Information and Knowledge Management	Glasgow, Scotland, UK
CIKM 2012	21st ACM International Conference on Information and Knowledge Management	Maui, HI, USA
CIKM 2017	The 26th 2017 ACM Conference on Information and Knowledge Management	Singapore
CIKM Posters 2012	Posters: 21st ACM International Conference on Information and Knowledge Management	Maui, HI, USA
CILC 2017	32nd Italian Conference on Computational Logic	Naples
CIPI 2017	International Conference on Information Processing	Cuba
CISC 2017	1st Workshop on Computational Intelligence & Soft Computing	Portland, Oregon, USA
CISIM 2012	11th International Conference on Computer Information Systems and Industrial Management Applications	Venice, Italy
CITI 2016	2nd International Conference on Technologies and Innovation	Guayaquil, Ecuador
CITMIA 2016	Special Issue on Computational Intelligence Technique in Medical Image Analysis	N/A
CLEI 2013	XXXIX Conferencia Latinoamericana en Informática	Naiguatá, VENEZUELA
CLOSER 2018	8th International Conference on Cloud Computing and Services Science	Funchal, Madeira, Portugal
CloudDB 2011	Third International Workshop on Cloud Data Management	Glasgow, Scotland, UK
CloudDB 2012	The Fourth International Workshop on Cloud Data Management	Maui, HI, USA
CloudDB 2013	The Fifth International workshop on Cloud Data Management	San Franciso
CloudDB 2014	The 6th International workshop on Cloud Data Management	Chicago, IL, USA
Cloud-I@IS 2013	Information Sciences special issue on Cloud Intelligence	N/A
Cloud-I 2013	2nd International Workshop on Cloud Intelligence	Riva del Garda, Italy
CLTM 2013	LATIN-AMERICAN MASTER THESIS CONTEST	Naiguatá, VENEZUELA
CMC 2017	3rd International Conference on Control, Modeling and Computing	Sydney, Australia
CML 2016	Constructive Machine Learning	Barcelona, Spain
CMS 2011	2nd International Workshop on Conceptual Modelling of Services	Milan, Italy
CN4IoT 2016	2nd EAI International Conference on Cloud, Networking for IoT systems	Brindisi
CNSA 2018	11th International Conference on Security and its Applications	Zurich, Switzerland
CogArch 2017	The 3rd Workshop on Cognitive Architectures at ASPLOS 2017	Xi'an, China
Cognitive Computing Applications, IECON 2017	Cognitive Computing Applications in Industrial Electronics	Beijing, China
COLT 2017	Computational Learning Theory	Amsterdam, Netherland
COLT 2018	Conference on Learning Theory	Stockholm, Sweden
COMAD 2011	The 17th International Conference on Management of Data	Bangalore, India
COMAD 2012	18th International Conference on Management of Data	Pune, India
COMAD 2013	19th International Conference on Management of Data	Ahmedabad, India
COMAD 2014	International Conference on Management of Data (COMAD)	Hyderabad, India
COMAD 2016	Conference on Management of Data, 2016	Pune, India
COMLACO 2017	Computational methods for measuring language complexity	Melbourne, Australia
COMNET SI on GreenNets 2011	COMNET Special Issue on “Green Communication Networks”	N/A
COMOREA 2018	14th Workshop on Context and Activity Modeling and Recognition	Athens, Greece
COMPRAIL 2016	15th International Conference on Railway Engineering Design and Operation	Madrid, Spain
Computational Intelligence in RDF 2017	Call for Book Chapters: Computational Intelligence in RDF Data Management (being published by Springer-Verlag)	N/A
CORE 2017	CORE 2017 (17th International Congress on Computer Science)	Mexico City
COREDEMA @ ECAI 2016	2nd International Workshop on Conflict Resolution in Decision Making	The Hague, Netherlands
COREDEMA 2017	3rd International Workshop on Conflict Resolution in Decision Making	Melbourne, Australia
CORES 2017	10th International Conference on Computer Recognition Systems	Polanica Zdroj, Poland
CoRob 2017	2017 Workshop on Collaborative Robots	Autonomous University of Ciudad Juárez,
COSIT 2015	12th International Conference on Spatial Information Theory	Santa Fe, New Mexico, USA.
CoSIT 2017	Fourth International Conference on Computer Science and Information Technology	Geneva, Switzerland
CPAIOR 2018	15th International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research	Delft, The Netherlands
CPS 2013	Special Session on Cooperative Problem Solving	Craiova, Romania
CPSCom 2016	The 9th IEEE International Conference on Cyber, Physical and Social Computing	Chengdu, Sichuan, China
CRC 2017	2nd International Conference on Cybernetics, Robotics and Control	Chengdu, China
CRoNe 2017	3rd Congress on Robotics and Neuroscience	Valparaiso, Chile
CSAI - Ei &Scopus 2017	2017 International Conference on Computer Science and Artificial Intelligence (CSAI 2017)--Ei Compendex & Scopus	Kalbis Institute, Jakarta, Indonesia
CSBio 2017	The 8th International Conference on Computational Systems-Biology and Bioinformatics (CSBio 2017)	NhaTrang, Vietnam
CSE 2012	The 15th IEEE International Conference on Computational Science and Engineering	Paphos, Cyprus
CSE 2013	The International Workshop on Cloud and Service Engineering	Aalborg, Denmark
CSEIJ 2017	Computer Science & Engineering: An International Journal	N/A
CSEN 2017	4th International Conference on Computer Science and Engineering	Vienna, Austria
CSI 2017	Computer Society Of Iran	Shiraz
CSITEC 2017	3rd International Conference on Computer Science, Information Technology	Dubai, UAE
CSITY 2017	3rd International Conference on Computer Science, Engineering and Information Technology	Dubai, UAE
CSPA 2018	14th IEEE Colloquium on Signal Processing and its Applications (CSPA 2018)	MALAYSIA
CSPRED 2016	Computer-Supported Peer Review in Education	Raleigh, NC, USA
CST 2017	Fourth International Conference on Foundations of Computer Science & Technology	Sydney, Australia
CST 2018	5th International Conference on Foundations of Computer Science & Technology	Dubai, UAE
CSTSC 2016	Workshop on AppliCations, Services and Techniques related to Smart City	Gran Canaria, Spain
CSTY 2017	3rd International Conference on Computer Science and Information Technology (CSTY-2017)	Chennai, India
CVIU 2017	Special Issue on Vision and Computational Photography and Graphics	N/A
CVPR 2018	Computer Vision and Pattern Recognition	Salt Lake City, UT, USA
CyberC 2016	CyberC (Tech. Sponsored by IEEE CS, IEEE Big Data, IEEE SDN) China Oct. 13-14, 2016	Chengdu, China
CyberC 2017	International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery	Nanjing
CyberSafety 2016	1st International Workshop on Computational Methods for CyberSafety	Indianapolis, IN, USA
CyberSafety 2017	Call for contributions: CyberSafety Workshop 2017	Perth, Australia
CYBI 2017	Fourth International Conference on Cybernetics & Informatics	Geneva, Switzerland
DAB 2013	2nd International Workshop on Data and Artifact-Centric BPM	Beijing, China
DAB 2014	3rd International Workshop on Data- and Artifact-Centric BPM	Haifa, Israel
DADE 2017	Special Session on Deployment Areas of Dynamic Environments	Gdynia, Poland
DaEng 2013	The First International Conference on Advanced Data and Information Engineering - LNEE Springer	Kuala Lumpur, Malaysia
DaMEN 2013	The Second International Workshop on Data Management for Emerging Network Infrastructure	Sydney, Australia
DaMIS 2016	International Workshop on Data Mining on IoT Systems	London, UK
DaMIS 2017	DaMIS 2017: The 2nd Edition of the International Workshop on Data Mining on IoT Systems	Lund, Sweden
